,Name,R2,MSE,RMSE,MAE
0,LinR_train,0.914008377113169,2.4543881542011177e-05,0.004954178190377409,0.0028840041145199585
1,LinR_test,0.9103506389658507,3.2600165598157365e-05,0.005709655471055794,0.0043906734608301365
2,HR_train,-0.0015064938662248117,0.0002858517600180323,0.016907151150268702,0.012741605672964283
3,HR_test,-0.000818569949279313,0.0003639384680235399,0.01907717138423671,0.014900494173929645
4,Ridge_train,0.9139851221588774,2.4550519012316262e-05,0.0049548480312030015,0.002877359615875973
5,Ridge_test,0.9110187175517065,3.235722496500343e-05,0.005688341143514815,0.004363715764088461
6,Elastic_train,0.00021213508987116825,0.0002853612258927652,0.01689263821588461,0.012748404863067142
7,Elastic_test,-0.0002604864964208531,0.00036373552610883007,0.019071851669642096,0.014863657475679873
8,Lasso_train,0.00021213508919704083,0.0002853612258929576,0.016892638215890304,0.012748404547155492
9,Lasso_test,-0.0002604763584774794,0.0003637355224222602,0.0190718515729926,0.014863657671321442
10,TheilSenRegressor_train,0.913106039211803,2.480142842644593e-05,0.004980103254596829,0.002774798346731807
11,TheilSenRegressor_test,0.9289690870816215,2.5829738182354293e-05,0.005082296546085666,0.003882108762087492
12,RANSACRegressor_train,0.9084396426044683,2.613331962367565e-05,0.005112075862472666,0.0028064342478046032
13,RANSACRegressor_test,0.9321062129325466,2.4688951220097435e-05,0.004968797764056959,0.0036621476789916404
14,RandomForestRegressor_train,0.8913599745542491,3.1008228775618734e-05,0.005568503279663103,0.003820470881253591
15,RandomForestRegressor_test,0.21590017465189326,0.0002851306898004272,0.016885813270329245,0.012637645009870187
