,Name,R2,MSE,RMSE,MAE
0,LinR_train,0.684460808529529,0.00039921931764361126,0.019980473408896277,0.011505566422918487
1,LinR_test,0.9480944996541578,6.815197501413004e-05,0.008255420947118931,0.005536329208500369
2,HR_train,0.004075481469848707,0.0012600409630870108,0.035497055696029366,0.02611643360455704
3,HR_test,-0.0029056156775804087,0.001316816098598003,0.036287960794153244,0.02794080638268947
4,Ridge_train,0.6844608019034859,0.0003992193260268627,0.019980473618682385,0.011505353302651216
5,Ridge_test,0.9481219821006077,6.811589053384767e-05,0.00825323515561308,0.00553444117592718
6,Elastic_train,0.004341210837235265,0.001259704763021873,0.035492319775155205,0.026096042193609826
7,Elastic_test,-0.003260074750565778,0.001317281503723176,0.03629437289337255,0.027938991649860526
8,Lasso_train,0.00434121083718908,0.0012597047630219314,0.035492319775156024,0.026096042092954165
9,Lasso_test,-0.003260082725736746,0.0013172815141945838,0.036294373037629175,0.027938991779391794
10,TheilSenRegressor_train,0.6319885723745988,0.00046560704658271516,0.02157792961761427,0.012838464209455358
11,TheilSenRegressor_test,0.7617138047356746,0.0003128700179684768,0.017688132122089,0.011799305184758257
12,RANSACRegressor_train,0.6744417046869013,0.0004118954602831812,0.020295207815718006,0.011928325105534097
13,RANSACRegressor_test,0.9671561654958543,4.3123988278326295e-05,0.006566885736658305,0.004576693027248617
14,RandomForestRegressor_train,0.8836129265769663,0.0001472526053513343,0.012134768450668283,0.008129541959365449
15,RandomForestRegressor_test,0.3483899613180387,0.0008555646468932775,0.029250036699007363,0.021382048351284072
